"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	0.946955942225594	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	0.00887470724358224	"ranksums"	"<0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	0.169146461558491	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	1.14992747348483e-06	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	0.894146064578262	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	0.946955942225594	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	0.00453105443653246	"ranksums"	"<0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	0.124151281091493	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	6.7798158073902e-07	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	0.870810804536042	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	0.00887470724358224	"ranksums"	"<0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	0.00453105443653246	"ranksums"	"<0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	0.0810611055553891	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	0.00296185322384854	"ranksums"	"<0.05"
"3. MACCS"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	0.169146461558491	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	0.124151281091493	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	0.0810611055553891	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	1.23903204794598e-06	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	1.14992747348483e-06	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	6.7798158073902e-07	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	0.00296185322384854	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	1.23903204794598e-06	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	4.13418360782015e-08	"ranksums"	"<0.05"
"4. AtomPairs"	"1. MorganBits"	"AUROC"	"BACE"	" Scaffold"	0.894146064578262	"ranksums"	">=0.05"
"4. AtomPairs"	"2. MorganCounts"	"AUROC"	"BACE"	" Scaffold"	0.870810804536042	"ranksums"	">=0.05"
"4. AtomPairs"	"3. MACCS"	"AUROC"	"BACE"	" Scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"4. AtomPairs"	"0. RDKit Descriptors"	"AUROC"	"BACE"	" Scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"4. AtomPairs"	"5. PhysChem Descriptors"	"AUROC"	"BACE"	" Scaffold"	4.13418360782015e-08	"ranksums"	"<0.05"
"4. AtomPairs"	"4. AtomPairs"	"AUROC"	"BACE"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"BBBP"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"BBBP"	" Scaffold"	0.203564840611187	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"BBBP"	" Scaffold"	0.0527747206160589	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.00496893443565361	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"BBBP"	" Scaffold"	0.0255853526590097	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"BBBP"	" Scaffold"	0.0357826755837011	"ranksums"	"<0.05"
