"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"  RF"	"  RF"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"  RF"	"GROVER"	"RMSE"	"A2a"	" Scaffold"	0.824495751654771	"ranksums"	">=0.05"
"  RF"	"GROVER_RDKit"	"RMSE"	"A2a"	" Scaffold"	0.976410907876082	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"  RF"	"RMSE"	"A2a"	" Scaffold"	0.824495751654771	"ranksums"	">=0.05"
"GROVER"	" MolBERT"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"RMSE"	"A2a"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"RMSE"	"A2a"	" Scaffold"	0.976410907876082	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"RMSE"	"A2a"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER"	"RMSE"	"A2a"	" Scaffold"	0.836023950489311	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"RMSE"	"ABL1"	" Scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"  RF"	"GROVER"	"RMSE"	"ABL1"	" Scaffold"	0.0509923489656683	"ranksums"	">=0.05"
"  RF"	"GROVER_RDKit"	"RMSE"	"ABL1"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"RMSE"	"ABL1"	" Scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"  RF"	"RMSE"	"ABL1"	" Scaffold"	0.0509923489656683	"ranksums"	">=0.05"
"GROVER"	" MolBERT"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	"ABL1"	" Scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"RMSE"	"ABL1"	" Scaffold"	0.790147056174559	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"RMSE"	"ABL1"	" Scaffold"	0.0947927923554053	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"RMSE"	"ABL1"	" Scaffold"	2.87194906632032e-11	"ranksums"	"<0.05"
"GROVER_RDKit"	"GROVER"	"RMSE"	"ABL1"	" Scaffold"	0.790147056174559	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"RMSE"	"ABL1"	" Scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	7.43858705279277e-09	"ranksums"	"<0.05"
"  RF"	"GROVER"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	6.16044512815228e-05	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	4.78850167745837e-05	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	7.43858705279277e-09	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000571543124125569	"ranksums"	"<0.05"
" MolBERT"	"GROVER_RDKit"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000173172648192284	"ranksums"	"<0.05"
"GROVER"	"  RF"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	6.16044512815228e-05	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"RMSE"	"Acetylcholinesterase"	" Scaffold"	0.000571543124125569	"ranksums"	"<0.05"
