"mean_metric_score"	"std_metric_score"	"split_type"	"mol_rep"	"mol_prop"	"model_name"	"metric_name"
0.809623320759141	0.220998413224734	" Scaffold"	"1. MorganBits"	"A2a"	"RF"	"RMSE"
0.830764759480346	0.21919936807911	" Scaffold"	"2. MorganCounts"	"A2a"	"RF"	"RMSE"
0.904295705243421	0.233714970521861	" Scaffold"	"3. MACCS"	"A2a"	"RF"	"RMSE"
0.947056223916602	0.190242436329937	" Scaffold"	"0. RDKit Descriptors"	"A2a"	"RF"	"RMSE"
0.911202942402701	0.255871645703876	" Scaffold"	"5. PhysChem Descriptors"	"A2a"	"RF"	"RMSE"
0.78200945852119	0.208834063659949	" Scaffold"	"4. AtomPairs"	"A2a"	"RF"	"RMSE"
0.914662483651973	0.219049443805131	" Scaffold"	"1. MorganBits"	"ABL1"	"RF"	"RMSE"
0.905734622569801	0.199536563134527	" Scaffold"	"2. MorganCounts"	"ABL1"	"RF"	"RMSE"
0.985272805874407	0.213845424210489	" Scaffold"	"3. MACCS"	"ABL1"	"RF"	"RMSE"
0.973043730537945	0.245630639986826	" Scaffold"	"0. RDKit Descriptors"	"ABL1"	"RF"	"RMSE"
0.978983459265346	0.203320397899124	" Scaffold"	"5. PhysChem Descriptors"	"ABL1"	"RF"	"RMSE"
0.934947233527581	0.195147949401034	" Scaffold"	"4. AtomPairs"	"ABL1"	"RF"	"RMSE"
0.938208617674219	0.159059031414501	" Scaffold"	"1. MorganBits"	"Acetylcholinesterase"	"RF"	"RMSE"
0.914379297288626	0.168995634636676	" Scaffold"	"2. MorganCounts"	"Acetylcholinesterase"	"RF"	"RMSE"
0.971118191823525	0.124075759505481	" Scaffold"	"3. MACCS"	"Acetylcholinesterase"	"RF"	"RMSE"
0.943829704014241	0.138152935359087	" Scaffold"	"0. RDKit Descriptors"	"Acetylcholinesterase"	"RF"	"RMSE"
1.09082659621447	0.143702753158274	" Scaffold"	"5. PhysChem Descriptors"	"Acetylcholinesterase"	"RF"	"RMSE"
0.924612652202643	0.16451284383183	" Scaffold"	"4. AtomPairs"	"Acetylcholinesterase"	"RF"	"RMSE"
0.910512012264214	0.102834582420124	" Scaffold"	"1. MorganBits"	"Aurora-A"	"RF"	"RMSE"
0.89766309751154	0.089273660678293	" Scaffold"	"2. MorganCounts"	"Aurora-A"	"RF"	"RMSE"
0.99998113618697	0.0890798928469959	" Scaffold"	"3. MACCS"	"Aurora-A"	"RF"	"RMSE"
0.983201296949354	0.0959290902790289	" Scaffold"	"0. RDKit Descriptors"	"Aurora-A"	"RF"	"RMSE"
1.16330716854821	0.109194641935789	" Scaffold"	"5. PhysChem Descriptors"	"Aurora-A"	"RF"	"RMSE"
0.878260649247693	0.0783673065500832	" Scaffold"	"4. AtomPairs"	"Aurora-A"	"RF"	"RMSE"
0.847272681663358	0.171936790503194	" Scaffold"	"1. MorganBits"	"B-raf"	"RF"	"RMSE"
0.838210721797445	0.169147360476611	" Scaffold"	"2. MorganCounts"	"B-raf"	"RF"	"RMSE"
0.983358291212581	0.150197489578128	" Scaffold"	"3. MACCS"	"B-raf"	"RF"	"RMSE"
0.918628433675415	0.172037034767316	" Scaffold"	"0. RDKit Descriptors"	"B-raf"	"RF"	"RMSE"
1.20447909921772	0.225996348207602	" Scaffold"	"5. PhysChem Descriptors"	"B-raf"	"RF"	"RMSE"
0.830356664805163	0.12696557528459	" Scaffold"	"4. AtomPairs"	"B-raf"	"RF"	"RMSE"
0.799694435169674	0.125427548712865	" Scaffold"	"1. MorganBits"	"COX-1"	"RF"	"RMSE"
0.789330194533321	0.115237749049292	" Scaffold"	"2. MorganCounts"	"COX-1"	"RF"	"RMSE"
0.814238152447313	0.113522137077239	" Scaffold"	"3. MACCS"	"COX-1"	"RF"	"RMSE"
0.806635163444731	0.108569852897532	" Scaffold"	"0. RDKit Descriptors"	"COX-1"	"RF"	"RMSE"
0.872675385521427	0.11957241520223	" Scaffold"	"5. PhysChem Descriptors"	"COX-1"	"RF"	"RMSE"
0.782173362577279	0.117205199489683	" Scaffold"	"4. AtomPairs"	"COX-1"	"RF"	"RMSE"
1.00247489416491	0.133220887770385	" Scaffold"	"1. MorganBits"	"COX-2"	"RF"	"RMSE"
0.956600093017116	0.133375234520136	" Scaffold"	"2. MorganCounts"	"COX-2"	"RF"	"RMSE"
0.967606503804843	0.160470625285177	" Scaffold"	"3. MACCS"	"COX-2"	"RF"	"RMSE"
0.960528386898774	0.128317773391675	" Scaffold"	"0. RDKit Descriptors"	"COX-2"	"RF"	"RMSE"
1.04256456746213	0.161169018896409	" Scaffold"	"5. PhysChem Descriptors"	"COX-2"	"RF"	"RMSE"
0.936801093955323	0.111246301927316	" Scaffold"	"4. AtomPairs"	"COX-2"	"RF"	"RMSE"
0.877791534950249	0.0998076782622307	" Scaffold"	"1. MorganBits"	"Cannabinoid"	"RF"	"RMSE"
0.863475312841934	0.101565193496259	" Scaffold"	"2. MorganCounts"	"Cannabinoid"	"RF"	"RMSE"
0.982692549240584	0.0955156788149961	" Scaffold"	"3. MACCS"	"Cannabinoid"	"RF"	"RMSE"
0.871574994298413	0.107104666899205	" Scaffold"	"0. RDKit Descriptors"	"Cannabinoid"	"RF"	"RMSE"
0.979729652302831	0.101290349966247	" Scaffold"	"5. PhysChem Descriptors"	"Cannabinoid"	"RF"	"RMSE"
0.847129576112382	0.0884399838895441	" Scaffold"	"4. AtomPairs"	"Cannabinoid"	"RF"	"RMSE"
0.708638753290755	0.157481047259304	" Scaffold"	"1. MorganBits"	"Carbonic"	"RF"	"RMSE"
0.698039380609886	0.181227163228732	" Scaffold"	"2. MorganCounts"	"Carbonic"	"RF"	"RMSE"
0.766725774765035	0.169854121985264	" Scaffold"	"3. MACCS"	"Carbonic"	"RF"	"RMSE"
0.706997225398803	0.140456910138502	" Scaffold"	"0. RDKit Descriptors"	"Carbonic"	"RF"	"RMSE"
1.01905496939453	0.228350119575763	" Scaffold"	"5. PhysChem Descriptors"	"Carbonic"	"RF"	"RMSE"
0.73193270831951	0.153064075610203	" Scaffold"	"4. AtomPairs"	"Carbonic"	"RF"	"RMSE"
0.594121218631486	0.104337213842672	" Scaffold"	"1. MorganBits"	"Caspase"	"RF"	"RMSE"
0.589835598900887	0.0947632931195383	" Scaffold"	"2. MorganCounts"	"Caspase"	"RF"	"RMSE"
0.666630528157575	0.099472553553274	" Scaffold"	"3. MACCS"	"Caspase"	"RF"	"RMSE"
0.656043487629406	0.0984384665191748	" Scaffold"	"0. RDKit Descriptors"	"Caspase"	"RF"	"RMSE"
