"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"   RF"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	0.836023950489311	"ranksums"	">=0.05"
"   RF"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	8.48722495644837e-10	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	6.80233745923454e-08	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	1.93121116964054e-05	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	2.79274007892698e-09	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	8.56299390490084e-11	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	0.00652159522961408	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	1.14992747348483e-06	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	0.000206531204756844	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	0.0384692450879587	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	2.07683271752998e-06	"ranksums"	"<0.05"
"   SVM"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	1.12079149234622e-09	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	0.836023950489311	"ranksums"	">=0.05"
"   XGBoost"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	0.00652159522961408	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	5.31674280364279e-10	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	8.70056716251292e-08	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	3.05659986835938e-05	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	2.55150761303332e-09	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	7.03394552480196e-11	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	8.48722495644837e-10	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	1.14992747348483e-06	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	5.31674280364279e-10	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	0.124151281091493	"ranksums"	">=0.05"
" RNN"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	0.0105365252586533	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	0.72271979157106	"ranksums"	">=0.05"
" RNN"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	0.000309280912215564	"ranksums"	"<0.05"
"GCN"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	6.80233745923454e-08	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	0.000206531204756844	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	8.70056716251292e-08	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	0.124151281091493	"ranksums"	">=0.05"
"GCN"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	0.203564840611187	"ranksums"	">=0.05"
"GCN"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	0.219782260816141	"ranksums"	">=0.05"
"GCN"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	1.80708780270684e-05	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	1.93121116964054e-05	"ranksums"	"<0.05"
"GIN"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	0.0384692450879587	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	3.05659986835938e-05	"ranksums"	"<0.05"
"GIN"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	0.0105365252586533	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	0.203564840611187	"ranksums"	">=0.05"
"GIN"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	0.0187369441808665	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	4.91490859414578e-06	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	2.79274007892698e-09	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	2.07683271752998e-06	"ranksums"	"<0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	2.55150761303332e-09	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	0.72271979157106	"ranksums"	">=0.05"
"  MolBERT"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	0.219782260816141	"ranksums"	">=0.05"
"  MolBERT"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	0.0187369441808665	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	4.49386556005608e-05	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	"  MDR1"	"scaffold"	8.56299390490084e-11	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	"  MDR1"	"scaffold"	1.12079149234622e-09	"ranksums"	"<0.05"
"GROVER"	"   XGBoost"	"RMSE"	"  MDR1"	"scaffold"	7.03394552480196e-11	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	"  MDR1"	"scaffold"	0.000309280912215564	"ranksums"	"<0.05"
"GROVER"	"GCN"	"RMSE"	"  MDR1"	"scaffold"	1.80708780270684e-05	"ranksums"	"<0.05"
"GROVER"	"GIN"	"RMSE"	"  MDR1"	"scaffold"	4.91490859414578e-06	"ranksums"	"<0.05"
"GROVER"	"  MolBERT"	"RMSE"	"  MDR1"	"scaffold"	4.49386556005608e-05	"ranksums"	"<0.05"
"GROVER"	"GROVER"	"RMSE"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	1.05414222608851e-05	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	0.117079846005044	"ranksums"	">=0.05"
"   RF"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	2.05326829901647e-10	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	0.964622805113689	"ranksums"	">=0.05"
"   RF"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	0.0265777633650162	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	6.97871029076066e-05	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	2.11048317634244e-07	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	1.05414222608851e-05	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	0.000309280912215564	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	1.69058805096499e-05	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	1.38250753184492e-05	"ranksums"	"<0.05"
"   SVM"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	0.00325993943719837	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	0.383055045845856	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	0.242819024256211	"ranksums"	">=0.05"
"   XGBoost"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	0.117079846005044	"ranksums"	">=0.05"
"   XGBoost"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	0.000309280912215564	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	1.47723487058011e-09	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	0.198357566662579	"ranksums"	">=0.05"
"   XGBoost"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	0.329177424678208	"ranksums"	">=0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	0.00474542496004799	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	6.97449658924728e-06	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	2.05326829901647e-10	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	1.69058805096499e-05	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	1.47723487058011e-09	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	1.69313483916145e-10	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	6.41463519308275e-10	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	1.93032627898519e-06	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	0.000433677833506189	"ranksums"	"<0.05"
"GCN"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	0.964622805113689	"ranksums"	">=0.05"
"GCN"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	1.38250753184492e-05	"ranksums"	"<0.05"
"GCN"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	0.198357566662579	"ranksums"	">=0.05"
"GCN"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	1.69313483916145e-10	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"GCN"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	0.00018368404743658	"ranksums"	"<0.05"
"GCN"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	3.13058210199886e-07	"ranksums"	"<0.05"
"GIN"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	0.0265777633650162	"ranksums"	"<0.05"
"GIN"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	0.00325993943719837	"ranksums"	"<0.05"
"GIN"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	0.329177424678208	"ranksums"	">=0.05"
"GIN"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	6.41463519308275e-10	"ranksums"	"<0.05"
"GIN"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	0.0371052625532809	"ranksums"	"<0.05"
"GIN"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"GIN"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"GIN"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	5.43359149466734e-05	"ranksums"	"<0.05"
"  MolBERT"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	6.97871029076066e-05	"ranksums"	"<0.05"
"  MolBERT"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	0.383055045845856	"ranksums"	">=0.05"
"  MolBERT"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	0.00474542496004799	"ranksums"	"<0.05"
"  MolBERT"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	1.93032627898519e-06	"ranksums"	"<0.05"
"  MolBERT"	"GCN"	"RMSE"	" CYP2D6"	"scaffold"	0.00018368404743658	"ranksums"	"<0.05"
"  MolBERT"	"GIN"	"RMSE"	" CYP2D6"	"scaffold"	0.0357826755837011	"ranksums"	"<0.05"
"  MolBERT"	"  MolBERT"	"RMSE"	" CYP2D6"	"scaffold"	1	"ranksums"	">=0.05"
"  MolBERT"	"GROVER"	"RMSE"	" CYP2D6"	"scaffold"	0.0492606674136038	"ranksums"	"<0.05"
"GROVER"	"   RF"	"RMSE"	" CYP2D6"	"scaffold"	2.11048317634244e-07	"ranksums"	"<0.05"
"GROVER"	"   SVM"	"RMSE"	" CYP2D6"	"scaffold"	0.242819024256211	"ranksums"	">=0.05"
"GROVER"	"   XGBoost"	"RMSE"	" CYP2D6"	"scaffold"	6.97449658924728e-06	"ranksums"	"<0.05"
"GROVER"	" RNN"	"RMSE"	" CYP2D6"	"scaffold"	0.000433677833506189	"ranksums"	"<0.05"
