"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"  RF"	"  RF"	"AUROC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUROC"	"  MDR1"	"scaffold"	0.00103021548837094	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUROC"	"  MDR1"	"scaffold"	0.000153824256411889	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUROC"	"  MDR1"	"scaffold"	0.00412842501613132	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUROC"	"  MDR1"	"scaffold"	0.00103021548837094	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUROC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUROC"	"  MDR1"	"scaffold"	0.383055045845856	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUROC"	"  MDR1"	"scaffold"	0.300711047148313	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUROC"	"  MDR1"	"scaffold"	0.000153824256411889	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUROC"	"  MDR1"	"scaffold"	0.383055045845856	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUROC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUROC"	"  MDR1"	"scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUROC"	"  MDR1"	"scaffold"	0.00412842501613132	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUROC"	"  MDR1"	"scaffold"	0.300711047148313	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUROC"	"  MDR1"	"scaffold"	0.0977510554485991	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUROC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"AUPRC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"AUPRC"	"  MDR1"	"scaffold"	0.0159585842612662	"ranksums"	"<0.05"
"  RF"	"GROVER"	"AUPRC"	"  MDR1"	"scaffold"	0.000637346631295202	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"AUPRC"	"  MDR1"	"scaffold"	0.0255853526590097	"ranksums"	"<0.05"
" MolBERT"	"  RF"	"AUPRC"	"  MDR1"	"scaffold"	0.0159585842612662	"ranksums"	"<0.05"
" MolBERT"	" MolBERT"	"AUPRC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"AUPRC"	"  MDR1"	"scaffold"	0.16686617046326	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"AUPRC"	"  MDR1"	"scaffold"	0.859183914274438	"ranksums"	">=0.05"
"GROVER"	"  RF"	"AUPRC"	"  MDR1"	"scaffold"	0.000637346631295202	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"AUPRC"	"  MDR1"	"scaffold"	0.16686617046326	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"AUPRC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"AUPRC"	"  MDR1"	"scaffold"	0.162375022412767	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"AUPRC"	"  MDR1"	"scaffold"	0.0255853526590097	"ranksums"	"<0.05"
"GROVER_RDKit"	" MolBERT"	"AUPRC"	"  MDR1"	"scaffold"	0.859183914274438	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"AUPRC"	"  MDR1"	"scaffold"	0.162375022412767	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"AUPRC"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_PPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	" MolBERT"	"Precision_PPV"	"  MDR1"	"scaffold"	0.351636969005001	"ranksums"	">=0.05"
"  RF"	"GROVER"	"Precision_PPV"	"  MDR1"	"scaffold"	0.0405950005366926	"ranksums"	"<0.05"
"  RF"	"GROVER_RDKit"	"Precision_PPV"	"  MDR1"	"scaffold"	0.188236525377403	"ranksums"	">=0.05"
" MolBERT"	"  RF"	"Precision_PPV"	"  MDR1"	"scaffold"	0.351636969005001	"ranksums"	">=0.05"
" MolBERT"	" MolBERT"	"Precision_PPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
" MolBERT"	"GROVER"	"Precision_PPV"	"  MDR1"	"scaffold"	0.395267011333117	"ranksums"	">=0.05"
" MolBERT"	"GROVER_RDKit"	"Precision_PPV"	"  MDR1"	"scaffold"	0.750587231522306	"ranksums"	">=0.05"
"GROVER"	"  RF"	"Precision_PPV"	"  MDR1"	"scaffold"	0.0405950005366926	"ranksums"	"<0.05"
"GROVER"	" MolBERT"	"Precision_PPV"	"  MDR1"	"scaffold"	0.395267011333117	"ranksums"	">=0.05"
"GROVER"	"GROVER"	"Precision_PPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"GROVER"	"GROVER_RDKit"	"Precision_PPV"	"  MDR1"	"scaffold"	0.539510316799405	"ranksums"	">=0.05"
"GROVER_RDKit"	"  RF"	"Precision_PPV"	"  MDR1"	"scaffold"	0.188236525377403	"ranksums"	">=0.05"
"GROVER_RDKit"	" MolBERT"	"Precision_PPV"	"  MDR1"	"scaffold"	0.750587231522306	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER"	"Precision_PPV"	"  MDR1"	"scaffold"	0.539510316799405	"ranksums"	">=0.05"
"GROVER_RDKit"	"GROVER_RDKit"	"Precision_PPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
"  RF"	"  RF"	"Precision_NPV"	"  MDR1"	"scaffold"	1	"ranksums"	">=0.05"
