"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"1. MorganBits"	"AUROC"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"AUROC"	"  MDR1"	" Scaffold"	0.610007552037681	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"AUROC"	"  MDR1"	" Scaffold"	0.579294210581981	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.790147056174559	"ranksums"	">=0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.0202784911655978	"ranksums"	"<0.05"
"1. MorganBits"	"4. AtomPairs"	"AUROC"	"  MDR1"	" Scaffold"	0.994101921325495	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"AUROC"	"  MDR1"	" Scaffold"	0.610007552037681	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"AUROC"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"AUROC"	"  MDR1"	" Scaffold"	0.267502703416054	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.756201338941347	"ranksums"	">=0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.00358511685987855	"ranksums"	"<0.05"
"2. MorganCounts"	"4. AtomPairs"	"AUROC"	"  MDR1"	" Scaffold"	0.684322586762449	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"AUROC"	"  MDR1"	" Scaffold"	0.579294210581981	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"AUROC"	"  MDR1"	" Scaffold"	0.267502703416054	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"AUROC"	"  MDR1"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.359334264539344	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"AUROC"	"  MDR1"	" Scaffold"	0.110328593661621	"ranksums"	">=0.05"
