"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
0	0.992592592592593	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"Cutoff value: 6"	"N"	6.20689655172414
4	0.991794871794872	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"Cutoff value: 5"	"N"	6.20689655172414
6	1	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"Cutoff value: 7"	"N"	6.20689655172414
8	0.997474747474747	"AUROC"	"  MDR1"	"RF"	0	"Random"	"Cutoff value: 6"	"N"	5.55555555555556
12	0.989894736842105	"AUROC"	"  MDR1"	"RF"	0	"Random"	"Cutoff value: 5"	"N"	5.55555555555556
14	1	"AUROC"	"  MDR1"	"RF"	0	"Random"	"Cutoff value: 7"	"N"	5.55555555555556
16	0.985823336968375	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"Cutoff value: 6"	"N"	2.75862068965517
20	0.985797827903091	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"Cutoff value: 5"	"N"	2.75862068965517
22	1	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"Cutoff value: 7"	"N"	2.75862068965517
24	0.944223985890652	"AUROC"	"  MDR1"	"RF"	1	"Random"	"Cutoff value: 6"	"N"	5.55555555555556
28	0.991935483870968	"AUROC"	"  MDR1"	"RF"	1	"Random"	"Cutoff value: 5"	"N"	5.55555555555556
30	0.993004115226338	"AUROC"	"  MDR1"	"RF"	1	"Random"	"Cutoff value: 7"	"N"	5.55555555555556
32	0.918249660786974	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"Cutoff value: 6"	"N"	4.13793103448276
36	0.948461538461538	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"Cutoff value: 5"	"N"	4.13793103448276
38	0.903740875912409	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"Cutoff value: 7"	"N"	4.13793103448276
40	0.960858585858586	"AUROC"	"  MDR1"	"RF"	2	"Random"	"Cutoff value: 6"	"N"	4.16666666666667
44	0.97707271885132	"AUROC"	"  MDR1"	"RF"	2	"Random"	"Cutoff value: 5"	"N"	4.16666666666667
46	0.913143382352941	"AUROC"	"  MDR1"	"RF"	2	"Random"	"Cutoff value: 7"	"N"	4.16666666666667
48	0.994444444444444	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"Cutoff value: 6"	"N"	1.37931034482759
52	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"Cutoff value: 5"	"N"	1.37931034482759
54	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"Cutoff value: 7"	"N"	1.37931034482759
56	0.927572016460905	"AUROC"	"  MDR1"	"RF"	3	"Random"	"Cutoff value: 6"	"N"	1.38888888888889
60	0.920434527304756	"AUROC"	"  MDR1"	"RF"	3	"Random"	"Cutoff value: 5"	"N"	1.38888888888889
62	0.913143382352941	"AUROC"	"  MDR1"	"RF"	3	"Random"	"Cutoff value: 7"	"N"	1.38888888888889
64	0.9934	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"Cutoff value: 6"	"N"	0
68	0.966386554621849	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"Cutoff value: 5"	"N"	0
70	0.993875765529309	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"Cutoff value: 7"	"N"	0
72	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"Cutoff value: 6"	"N"	2.08333333333333
76	0.998147290412228	"AUROC"	"  MDR1"	"RF"	4	"Random"	"Cutoff value: 5"	"N"	2.08333333333333
78	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"Cutoff value: 7"	"N"	2.08333333333333
80	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"Cutoff value: 6"	"N"	0
84	0.99543795620438	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"Cutoff value: 5"	"N"	0
86	0.997929606625259	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"Cutoff value: 7"	"N"	0
88	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"Cutoff value: 6"	"N"	4.16666666666667
92	0.947157894736842	"AUROC"	"  MDR1"	"RF"	5	"Random"	"Cutoff value: 5"	"N"	4.16666666666667
94	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"Cutoff value: 7"	"N"	4.16666666666667
96	0.954225352112676	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"Cutoff value: 6"	"N"	2.75862068965517
100	0.940047961630696	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"Cutoff value: 5"	"N"	2.75862068965517
102	1	"AUROC"	"  MDR1"	"RF"	6	"Scaffold"	"Cutoff value: 7"	"N"	2.75862068965517
104	0.995865633074936	"AUROC"	"  MDR1"	"RF"	6	"Random"	"Cutoff value: 6"	"N"	3.47222222222222
108	0.995741385985288	"AUROC"	"  MDR1"	"RF"	6	"Random"	"Cutoff value: 5"	"N"	3.47222222222222
110	0.940656565656566	"AUROC"	"  MDR1"	"RF"	6	"Random"	"Cutoff value: 7"	"N"	3.47222222222222
112	0.995196324143693	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"Cutoff value: 6"	"N"	0
116	0.947196620583717	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"Cutoff value: 5"	"N"	0
118	0.994152046783626	"AUROC"	"  MDR1"	"RF"	7	"Scaffold"	"Cutoff value: 7"	"N"	0
