"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
0	0.992592592592593	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff6"	"N"	6.20689655172414
1	1	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff6"	"Y"	6.20689655172414
4	0.991794871794872	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff5"	"N"	6.20689655172414
5	0.994871794871795	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff5"	"Y"	6.20689655172414
6	1	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff7"	"N"	6.20689655172414
7	1	"AUROC"	"  MDR1"	"RF"	0	"Scaffold"	"cutoff7"	"Y"	6.20689655172414
8	0.997474747474747	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff6"	"N"	5.55555555555556
9	1	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff6"	"Y"	5.55555555555556
12	0.989894736842105	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff5"	"N"	5.55555555555556
13	0.982545454545454	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff5"	"Y"	5.55555555555556
14	1	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff7"	"N"	5.55555555555556
15	1	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff7"	"Y"	5.55555555555556
16	0.985823336968375	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff6"	"N"	2.75862068965517
17	1	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff6"	"Y"	2.75862068965517
20	0.985797827903091	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff5"	"N"	2.75862068965517
21	0.9994708994709	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff5"	"Y"	2.75862068965517
22	1	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff7"	"N"	2.75862068965517
23	1	"AUROC"	"  MDR1"	"RF"	1	"Scaffold"	"cutoff7"	"Y"	2.75862068965517
24	0.944223985890652	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff6"	"N"	5.55555555555556
25	0.942909090909091	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff6"	"Y"	5.55555555555556
28	0.991935483870968	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff5"	"N"	5.55555555555556
29	0.991935483870968	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff5"	"Y"	5.55555555555556
30	0.993004115226338	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff7"	"N"	5.55555555555556
31	0.993438320209974	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff7"	"Y"	5.55555555555556
32	0.918249660786974	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff6"	"N"	4.13793103448276
33	0.904103053435114	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff6"	"Y"	4.13793103448276
36	0.948461538461538	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff5"	"N"	4.13793103448276
37	0.919230769230769	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff5"	"Y"	4.13793103448276
38	0.903740875912409	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff7"	"N"	4.13793103448276
39	0.904580152671756	"AUROC"	"  MDR1"	"RF"	2	"Scaffold"	"cutoff7"	"Y"	4.13793103448276
40	0.960858585858586	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff6"	"N"	4.16666666666667
41	0.9578125	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff6"	"Y"	4.16666666666667
44	0.97707271885132	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff5"	"N"	4.16666666666667
45	0.965998568360773	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff5"	"Y"	4.16666666666667
46	0.913143382352941	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff7"	"N"	4.16666666666667
47	0.913942307692308	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff7"	"Y"	4.16666666666667
48	0.994444444444444	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff6"	"N"	1.37931034482759
49	0.996268656716418	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff6"	"Y"	1.37931034482759
52	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff5"	"N"	1.37931034482759
53	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff5"	"Y"	1.37931034482759
54	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff7"	"N"	1.37931034482759
55	1	"AUROC"	"  MDR1"	"RF"	3	"Scaffold"	"cutoff7"	"Y"	1.37931034482759
56	0.927572016460905	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff6"	"N"	1.38888888888889
57	0.922574626865672	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff6"	"Y"	1.38888888888889
60	0.920434527304756	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff5"	"N"	1.38888888888889
61	0.905968077723803	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff5"	"Y"	1.38888888888889
62	0.913143382352941	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff7"	"N"	1.38888888888889
63	0.913712686567164	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff7"	"Y"	1.38888888888889
64	0.9934	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff6"	"N"	0
65	0.9934	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff6"	"Y"	0
68	0.966386554621849	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff5"	"N"	0
69	0.966386554621849	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff5"	"Y"	0
70	0.993875765529309	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff7"	"N"	0
71	0.993875765529309	"AUROC"	"  MDR1"	"RF"	4	"Scaffold"	"cutoff7"	"Y"	0
72	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	"N"	2.08333333333333
73	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	"Y"	2.08333333333333
76	0.998147290412228	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff5"	"N"	2.08333333333333
77	0.998875140607424	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff5"	"Y"	2.08333333333333
78	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff7"	"N"	2.08333333333333
79	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff7"	"Y"	2.08333333333333
80	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff6"	"N"	0
81	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff6"	"Y"	0
84	0.99543795620438	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff5"	"N"	0
85	0.99543795620438	"AUROC"	"  MDR1"	"RF"	5	"Scaffold"	"cutoff5"	"Y"	0
