"X"	"metric_score"	"metric_name"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"	"edge_removed"	"edge_pct"
0	0.992592592592593	"AUROC"	"  MDR1"	"RF"	0	" Scaffold"	"cutoff6"	" Original"	6.20689655172414
1	1	"AUROC"	"  MDR1"	"RF"	0	" Scaffold"	"cutoff6"	"Edge Cases Removed"	6.20689655172414
8	0.997474747474747	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff6"	" Original"	5.55555555555556
9	1	"AUROC"	"  MDR1"	"RF"	0	"Random"	"cutoff6"	"Edge Cases Removed"	5.55555555555556
16	0.985823336968375	"AUROC"	"  MDR1"	"RF"	1	" Scaffold"	"cutoff6"	" Original"	2.75862068965517
17	1	"AUROC"	"  MDR1"	"RF"	1	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.75862068965517
24	0.944223985890652	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff6"	" Original"	5.55555555555556
25	0.942909090909091	"AUROC"	"  MDR1"	"RF"	1	"Random"	"cutoff6"	"Edge Cases Removed"	5.55555555555556
32	0.918249660786974	"AUROC"	"  MDR1"	"RF"	2	" Scaffold"	"cutoff6"	" Original"	4.13793103448276
33	0.904103053435114	"AUROC"	"  MDR1"	"RF"	2	" Scaffold"	"cutoff6"	"Edge Cases Removed"	4.13793103448276
40	0.960858585858586	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff6"	" Original"	4.16666666666667
41	0.9578125	"AUROC"	"  MDR1"	"RF"	2	"Random"	"cutoff6"	"Edge Cases Removed"	4.16666666666667
48	0.994444444444444	"AUROC"	"  MDR1"	"RF"	3	" Scaffold"	"cutoff6"	" Original"	1.37931034482759
49	0.996268656716418	"AUROC"	"  MDR1"	"RF"	3	" Scaffold"	"cutoff6"	"Edge Cases Removed"	1.37931034482759
56	0.927572016460905	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff6"	" Original"	1.38888888888889
57	0.922574626865672	"AUROC"	"  MDR1"	"RF"	3	"Random"	"cutoff6"	"Edge Cases Removed"	1.38888888888889
64	0.9934	"AUROC"	"  MDR1"	"RF"	4	" Scaffold"	"cutoff6"	" Original"	0
65	0.9934	"AUROC"	"  MDR1"	"RF"	4	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
72	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	" Original"	2.08333333333333
73	1	"AUROC"	"  MDR1"	"RF"	4	"Random"	"cutoff6"	"Edge Cases Removed"	2.08333333333333
80	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	" Scaffold"	"cutoff6"	" Original"	0
81	0.995859213250518	"AUROC"	"  MDR1"	"RF"	5	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
88	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff6"	" Original"	4.16666666666667
89	1	"AUROC"	"  MDR1"	"RF"	5	"Random"	"cutoff6"	"Edge Cases Removed"	4.16666666666667
96	0.954225352112676	"AUROC"	"  MDR1"	"RF"	6	" Scaffold"	"cutoff6"	" Original"	2.75862068965517
97	0.987410071942446	"AUROC"	"  MDR1"	"RF"	6	" Scaffold"	"cutoff6"	"Edge Cases Removed"	2.75862068965517
104	0.995865633074936	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff6"	" Original"	3.47222222222222
105	1	"AUROC"	"  MDR1"	"RF"	6	"Random"	"cutoff6"	"Edge Cases Removed"	3.47222222222222
112	0.995196324143693	"AUROC"	"  MDR1"	"RF"	7	" Scaffold"	"cutoff6"	" Original"	0
113	0.995196324143693	"AUROC"	"  MDR1"	"RF"	7	" Scaffold"	"cutoff6"	"Edge Cases Removed"	0
