"model_name"	"metric_name"	"mol_prop"	"p_value"	"stats_method"	"perf_diff"	"split_type"
"   RF"	"RMSE"	"  MDR1"	0.351636969005001	"ranksums"	0	"Scaffold"
"   SVM"	"RMSE"	"  MDR1"	0.169146461558491	"ranksums"	0	"Scaffold"
"   XGBoost"	"RMSE"	"  MDR1"	0.505859178079598	"ranksums"	0	"Scaffold"
"  RNN"	"RMSE"	"  MDR1"	0.515359797580285	"ranksums"	0	"Scaffold"
"GCN"	"RMSE"	"  MDR1"	0.0187369441808665	"ranksums"	0.682536406815732	"Scaffold"
"GIN"	"RMSE"	"  MDR1"	0.0760414758302434	"ranksums"	0	"Scaffold"
" MolBERT"	"RMSE"	"  MDR1"	0.0863464464119469	"ranksums"	0	"Scaffold"
"GROVER"	"RMSE"	"  MDR1"	0.203564840611187	"ranksums"	0	"Scaffold"
"GROVER_RDKit"	"RMSE"	"  MDR1"	0.0546088652321406	"ranksums"	0	"Scaffold"
"   RF"	"RMSE"	" CYP2D6"	3.47852602805345e-05	"ranksums"	0.22806432173383	"Scaffold"
"   SVM"	"RMSE"	" CYP2D6"	0.000275865488330761	"ranksums"	0.241734405417276	"Scaffold"
"   XGBoost"	"RMSE"	" CYP2D6"	0.00103021548837094	"ranksums"	0.215860341516662	"Scaffold"
"  RNN"	"RMSE"	" CYP2D6"	3.44536113152082e-06	"ranksums"	0.337923735697082	"Scaffold"
"GCN"	"RMSE"	" CYP2D6"	0.000366575678090335	"ranksums"	0.256302236809299	"Scaffold"
"GIN"	"RMSE"	" CYP2D6"	0.000309280912215564	"ranksums"	0.236155647562483	"Scaffold"
" MolBERT"	"RMSE"	" CYP2D6"	0.00778634841591745	"ranksums"	0.185449824602364	"Scaffold"
"GROVER"	"RMSE"	" CYP2D6"	1.80708780270684e-05	"ranksums"	0.281355468835315	"Scaffold"
"GROVER_RDKit"	"RMSE"	" CYP2D6"	0.000327375625579428	"ranksums"	0.256244397447808	"Scaffold"
"   RF"	"RMSE"	" CYP3A4"	6.50572843638803e-06	"ranksums"	0.451132881510239	"Scaffold"
"   SVM"	"RMSE"	" CYP3A4"	0.00147961889644207	"ranksums"	0.275778984706663	"Scaffold"
"   XGBoost"	"RMSE"	" CYP3A4"	3.26108634521542e-05	"ranksums"	0.379412300557562	"Scaffold"
"  RNN"	"RMSE"	" CYP3A4"	0.0129994824928381	"ranksums"	0.235799276532904	"Scaffold"
"GCN"	"RMSE"	" CYP3A4"	0.0297569530004727	"ranksums"	0.183235917094837	"Scaffold"
"GIN"	"RMSE"	" CYP3A4"	0.0180053510254157	"ranksums"	0.206898393457262	"Scaffold"
" MolBERT"	"RMSE"	" CYP3A4"	0.00067282950584858	"ranksums"	0.271522500038258	"Scaffold"
"GROVER"	"RMSE"	" CYP3A4"	0.416135847078279	"ranksums"	0	"Scaffold"
"GROVER_RDKit"	"RMSE"	" CYP3A4"	0.000790601078775583	"ranksums"	0.287037594482809	"Scaffold"
"   RF"	"RMSE"	" MOR"	0.0114669679432952	"ranksums"	0.238818628030618	"Scaffold"
"   SVM"	"RMSE"	" MOR"	0.0689901401299633	"ranksums"	0	"Scaffold"
"   XGBoost"	"RMSE"	" MOR"	0.0119589835689516	"ranksums"	0.225059727275933	"Scaffold"
"  RNN"	"RMSE"	" MOR"	0.0297569530004727	"ranksums"	0.173138850572123	"Scaffold"
