"rep_1"	"rep_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"1. MorganBits"	"1. MorganBits"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"1. MorganBits"	"2. MorganCounts"	"RMSE"	"A2a"	" Scaffold"	0.625630563965439	"ranksums"	">=0.05"
"1. MorganBits"	"3. MACCS"	"RMSE"	"A2a"	" Scaffold"	0.124151281091493	"ranksums"	">=0.05"
"1. MorganBits"	"0. RDKit Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.0147104444533948	"ranksums"	"<0.05"
"1. MorganBits"	"5. PhysChem Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.131551611214182	"ranksums"	">=0.05"
"1. MorganBits"	"4. AtomPairs"	"RMSE"	"A2a"	" Scaffold"	0.646724577343484	"ranksums"	">=0.05"
"2. MorganCounts"	"1. MorganBits"	"RMSE"	"A2a"	" Scaffold"	0.625630563965439	"ranksums"	">=0.05"
"2. MorganCounts"	"2. MorganCounts"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"2. MorganCounts"	"3. MACCS"	"RMSE"	"A2a"	" Scaffold"	0.273934154452293	"ranksums"	">=0.05"
"2. MorganCounts"	"0. RDKit Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.0428195073176977	"ranksums"	"<0.05"
"2. MorganCounts"	"5. PhysChem Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.293858729054122	"ranksums"	">=0.05"
"2. MorganCounts"	"4. AtomPairs"	"RMSE"	"A2a"	" Scaffold"	0.375043623558613	"ranksums"	">=0.05"
"3. MACCS"	"1. MorganBits"	"RMSE"	"A2a"	" Scaffold"	0.124151281091493	"ranksums"	">=0.05"
"3. MACCS"	"2. MorganCounts"	"RMSE"	"A2a"	" Scaffold"	0.273934154452293	"ranksums"	">=0.05"
"3. MACCS"	"3. MACCS"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"3. MACCS"	"0. RDKit Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.459772646548566	"ranksums"	">=0.05"
"3. MACCS"	"5. PhysChem Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.952842429580199	"ranksums"	">=0.05"
"3. MACCS"	"4. AtomPairs"	"RMSE"	"A2a"	" Scaffold"	0.0760414758302434	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"1. MorganBits"	"RMSE"	"A2a"	" Scaffold"	0.0147104444533948	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"2. MorganCounts"	"RMSE"	"A2a"	" Scaffold"	0.0428195073176977	"ranksums"	"<0.05"
"0. RDKit Descriptors"	"3. MACCS"	"RMSE"	"A2a"	" Scaffold"	0.459772646548566	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"0. RDKit Descriptors"	"RMSE"	"A2a"	" Scaffold"	1	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"5. PhysChem Descriptors"	"RMSE"	"A2a"	" Scaffold"	0.344044940644476	"ranksums"	">=0.05"
"0. RDKit Descriptors"	"4. AtomPairs"	"RMSE"	"A2a"	" Scaffold"	0.00432549412299047	"ranksums"	"<0.05"
"5. PhysChem Descriptors"	"1. MorganBits"	"RMSE"	"A2a"	" Scaffold"	0.131551611214182	"ranksums"	">=0.05"
"5. PhysChem Descriptors"	"2. MorganCounts"	"RMSE"	"A2a"	" Scaffold"	0.293858729054122	"ranksums"	">=0.05"
