"metric_score"	"metric_name"	"mol_rep"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"
0.916180371352785	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	0	"random"	"benchmark"
0.823114869626498	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	1	"random"	"benchmark"
0.756067749257901	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	2	"random"	"benchmark"
0.826645264847512	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	3	"random"	"benchmark"
0.850881788021652	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	4	"random"	"benchmark"
0.863213345039508	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	5	"random"	"benchmark"
0.834782608695652	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	6	"random"	"benchmark"
0.811628760088041	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	7	"random"	"benchmark"
0.850348432055749	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	8	"random"	"benchmark"
0.801947487393497	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	9	"random"	"benchmark"
0.866071428571429	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	10	"random"	"benchmark"
0.849789915966387	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	11	"random"	"benchmark"
0.861415406016345	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	12	"random"	"benchmark"
0.851156320639889	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	13	"random"	"benchmark"
0.86790450928382	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	14	"random"	"benchmark"
0.823090277777778	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	15	"random"	"benchmark"
0.848232848232848	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	16	"random"	"benchmark"
0.815803336259877	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	17	"random"	"benchmark"
0.846194503171247	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	18	"random"	"benchmark"
0.816583806818182	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	19	"random"	"benchmark"
0.82490001738828	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	20	"random"	"benchmark"
0.910627177700348	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	21	"random"	"benchmark"
0.809725158562368	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	22	"random"	"benchmark"
0.800173611111111	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	23	"random"	"benchmark"
0.869512195121951	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	24	"random"	"benchmark"
0.901908328874621	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	25	"random"	"benchmark"
0.882703081232493	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	26	"random"	"benchmark"
0.816067653276956	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	27	"random"	"benchmark"
0.891456582633053	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	28	"random"	"benchmark"
0.783596323911913	"AUROC"	" SMILES"	" BACE"	"  MolBERT"	29	"random"	"benchmark"
0.89973474801061	"AUROC"	"Graph"	" BACE"	"GROVER"	0	"random"	"benchmark"
0.829457364341085	"AUROC"	"Graph"	" BACE"	"GROVER"	1	"random"	"benchmark"
0.755194691810721	"AUROC"	"Graph"	" BACE"	"GROVER"	2	"random"	"benchmark"
0.863920099875156	"AUROC"	"Graph"	" BACE"	"GROVER"	3	"random"	"benchmark"
0.830626855247075	"AUROC"	"Graph"	" BACE"	"GROVER"	4	"random"	"benchmark"
0.811589113257243	"AUROC"	"Graph"	" BACE"	"GROVER"	5	"random"	"benchmark"
0.893478260869565	"AUROC"	"Graph"	" BACE"	"GROVER"	6	"random"	"benchmark"
0.653154805575935	"AUROC"	"Graph"	" BACE"	"GROVER"	7	"random"	"benchmark"
0.863588850174216	"AUROC"	"Graph"	" BACE"	"GROVER"	8	"random"	"benchmark"
0.721265866805773	"AUROC"	"Graph"	" BACE"	"GROVER"	9	"random"	"benchmark"
0.732843137254902	"AUROC"	"Graph"	" BACE"	"GROVER"	10	"random"	"benchmark"
0.849614845938375	"AUROC"	"Graph"	" BACE"	"GROVER"	11	"random"	"benchmark"
0.905407755173013	"AUROC"	"Graph"	" BACE"	"GROVER"	12	"random"	"benchmark"
0.741436271952704	"AUROC"	"Graph"	" BACE"	"GROVER"	13	"random"	"benchmark"
0.906277630415561	"AUROC"	"Graph"	" BACE"	"GROVER"	14	"random"	"benchmark"
0.845659722222222	"AUROC"	"Graph"	" BACE"	"GROVER"	15	"random"	"benchmark"
0.852564102564103	"AUROC"	"Graph"	" BACE"	"GROVER"	16	"random"	"benchmark"
0.733450395083407	"AUROC"	"Graph"	" BACE"	"GROVER"	17	"random"	"benchmark"
0.783474277660324	"AUROC"	"Graph"	" BACE"	"GROVER"	18	"random"	"benchmark"
0.652521306818182	"AUROC"	"Graph"	" BACE"	"GROVER"	19	"random"	"benchmark"
0.802469135802469	"AUROC"	"Graph"	" BACE"	"GROVER"	20	"random"	"benchmark"
0.805052264808362	"AUROC"	"Graph"	" BACE"	"GROVER"	21	"random"	"benchmark"
0.878259337561663	"AUROC"	"Graph"	" BACE"	"GROVER"	22	"random"	"benchmark"
0.6765625	"AUROC"	"Graph"	" BACE"	"GROVER"	23	"random"	"benchmark"
0.785017421602787	"AUROC"	"Graph"	" BACE"	"GROVER"	24	"random"	"benchmark"
0.80203317281969	"AUROC"	"Graph"	" BACE"	"GROVER"	25	"random"	"benchmark"
0.889880952380952	"AUROC"	"Graph"	" BACE"	"GROVER"	26	"random"	"benchmark"
0.777307963354475	"AUROC"	"Graph"	" BACE"	"GROVER"	27	"random"	"benchmark"
0.878326330532213	"AUROC"	"Graph"	" BACE"	"GROVER"	28	"random"	"benchmark"
0.824865614704352	"AUROC"	"Graph"	" BACE"	"GROVER"	29	"random"	"benchmark"
0.923253757736516	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	0	"random"	"benchmark"
0.880285412262157	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	1	"random"	"benchmark"
0.837174786100925	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	2	"random"	"benchmark"
0.859550561797753	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	3	"random"	"benchmark"
0.891129736336651	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	4	"random"	"benchmark"
0.847322212467076	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	5	"random"	"benchmark"
0.879891304347826	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	6	"random"	"benchmark"
0.852898019075569	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	7	"random"	"benchmark"
0.88780487804878	"AUROC"	"  RDKit2D"	" BACE"	"   RF"	8	"random"	"benchmark"
