"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"   RF"	"   RF"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"AUROC"	"BACE"	"random"	0.00163783886534898	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"AUROC"	"BACE"	"random"	0.100782631798322	"ranksums"	">=0.05"
"   RF"	" RNN"	"AUROC"	"BACE"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   RF"	"GCN"	"AUROC"	"BACE"	"random"	4.49433148126392e-08	"ranksums"	"<0.05"
"   RF"	"GIN"	"AUROC"	"BACE"	"random"	0.00745108688879847	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"AUROC"	"BACE"	"random"	0.000366575678090335	"ranksums"	"<0.05"
"   RF"	"GROVER"	"AUROC"	"BACE"	"random"	9.49730301429274e-05	"ranksums"	"<0.05"
"   SVM"	"   RF"	"AUROC"	"BACE"	"random"	0.00163783886534898	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"AUROC"	"BACE"	"random"	0.0645946503733181	"ranksums"	">=0.05"
"   SVM"	" RNN"	"AUROC"	"BACE"	"random"	6.06719202254398e-06	"ranksums"	"<0.05"
"   SVM"	"GCN"	"AUROC"	"BACE"	"random"	0.00296185322384854	"ranksums"	"<0.05"
"   SVM"	"GIN"	"AUROC"	"BACE"	"random"	0.870810804536042	"ranksums"	">=0.05"
"   SVM"	"  MolBERT"	"AUROC"	"BACE"	"random"	0.554267836324318	"ranksums"	">=0.05"
"   SVM"	"GROVER"	"AUROC"	"BACE"	"random"	0.0443590716039318	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"AUROC"	"BACE"	"random"	0.100782631798322	"ranksums"	">=0.05"
"   XGBoost"	"   SVM"	"AUROC"	"BACE"	"random"	0.0645946503733181	"ranksums"	">=0.05"
"   XGBoost"	"   XGBoost"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"AUROC"	"BACE"	"random"	1.7739278225827e-09	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"AUROC"	"BACE"	"random"	1.93032627898519e-06	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"AUROC"	"BACE"	"random"	0.145319127240865	"ranksums"	">=0.05"
"   XGBoost"	"  MolBERT"	"AUROC"	"BACE"	"random"	0.0105365252586533	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"AUROC"	"BACE"	"random"	0.00172265702865928	"ranksums"	"<0.05"
" RNN"	"   RF"	"AUROC"	"BACE"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
" RNN"	"   SVM"	"AUROC"	"BACE"	"random"	6.06719202254398e-06	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"AUROC"	"BACE"	"random"	1.7739278225827e-09	"ranksums"	"<0.05"
" RNN"	" RNN"	"AUROC"	"BACE"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"AUROC"	"BACE"	"random"	0.0159585842612662	"ranksums"	"<0.05"
