"model_1"	"model_2"	"metric_name"	"mol_prop"	"split_type"	"p_value"	"stats_method"	"p_value_group"
"   RF"	"   RF"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"   RF"	"   SVM"	"RMSE"	"  MDR1"	"random"	8.56299390490084e-11	"ranksums"	"<0.05"
"   RF"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	0.139289365686848	"ranksums"	">=0.05"
"   RF"	" RNN"	"RMSE"	"  MDR1"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
"   RF"	"GCN"	"RMSE"	"  MDR1"	"random"	1.26579577283706e-10	"ranksums"	"<0.05"
"   RF"	"GIN"	"RMSE"	"  MDR1"	"random"	8.51344106216369e-07	"ranksums"	"<0.05"
"   RF"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   RF"	"GROVER"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   SVM"	"   RF"	"RMSE"	"  MDR1"	"random"	8.56299390490084e-11	"ranksums"	"<0.05"
"   SVM"	"   SVM"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"   SVM"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"   SVM"	" RNN"	"RMSE"	"  MDR1"	"random"	0.00520192154044832	"ranksums"	"<0.05"
"   SVM"	"GCN"	"RMSE"	"  MDR1"	"random"	0.267502703416054	"ranksums"	">=0.05"
"   SVM"	"GIN"	"RMSE"	"  MDR1"	"random"	0.00849769192613482	"ranksums"	"<0.05"
"   SVM"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	5.22831602652652e-11	"ranksums"	"<0.05"
"   SVM"	"GROVER"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   XGBoost"	"   RF"	"RMSE"	"  MDR1"	"random"	0.139289365686848	"ranksums"	">=0.05"
"   XGBoost"	"   SVM"	"RMSE"	"  MDR1"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"   XGBoost"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"   XGBoost"	" RNN"	"RMSE"	"  MDR1"	"random"	1.02179673458755e-09	"ranksums"	"<0.05"
"   XGBoost"	"GCN"	"RMSE"	"  MDR1"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"   XGBoost"	"GIN"	"RMSE"	"  MDR1"	"random"	9.49730301429274e-05	"ranksums"	"<0.05"
"   XGBoost"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
"   XGBoost"	"GROVER"	"RMSE"	"  MDR1"	"random"	2.87194906632032e-11	"ranksums"	"<0.05"
" RNN"	"   RF"	"RMSE"	"  MDR1"	"random"	7.76173468960547e-11	"ranksums"	"<0.05"
" RNN"	"   SVM"	"RMSE"	"  MDR1"	"random"	0.00520192154044832	"ranksums"	"<0.05"
" RNN"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	1.02179673458755e-09	"ranksums"	"<0.05"
" RNN"	" RNN"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
" RNN"	"GCN"	"RMSE"	"  MDR1"	"random"	0.0413253615725104	"ranksums"	"<0.05"
" RNN"	"GIN"	"RMSE"	"  MDR1"	"random"	1.80708780270684e-05	"ranksums"	"<0.05"
" RNN"	"  MolBERT"	"RMSE"	"  MDR1"	"random"	3.70061293474096e-06	"ranksums"	"<0.05"
" RNN"	"GROVER"	"RMSE"	"  MDR1"	"random"	2.7376658092235e-10	"ranksums"	"<0.05"
"GCN"	"   RF"	"RMSE"	"  MDR1"	"random"	1.26579577283706e-10	"ranksums"	"<0.05"
"GCN"	"   SVM"	"RMSE"	"  MDR1"	"random"	0.267502703416054	"ranksums"	">=0.05"
"GCN"	"   XGBoost"	"RMSE"	"  MDR1"	"random"	6.23687442625586e-09	"ranksums"	"<0.05"
"GCN"	" RNN"	"RMSE"	"  MDR1"	"random"	0.0413253615725104	"ranksums"	"<0.05"
"GCN"	"GCN"	"RMSE"	"  MDR1"	"random"	1	"ranksums"	">=0.05"
"GCN"	"GIN"	"RMSE"	"  MDR1"	"random"	0.00243900925508692	"ranksums"	"<0.05"
