"metric_score"	"metric_name"	"mol_rep"	"mol_prop"	"model_name"	"fold"	"split_type"	"task"
0.842222222222222	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	0	"Scaffold"	"cutoff6"
0.948200654307524	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	1	"Scaffold"	"cutoff6"
0.631614654002714	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	2	"Scaffold"	"cutoff6"
0.856296296296296	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	3	"Scaffold"	"cutoff6"
0.9796	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	4	"Scaffold"	"cutoff6"
0.993788819875776	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	5	"Scaffold"	"cutoff6"
0.683215130023641	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	6	"Scaffold"	"cutoff6"
0.994987468671679	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	7	"Scaffold"	"cutoff6"
1	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	8	"Scaffold"	"cutoff6"
0.905454545454546	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	9	"Scaffold"	"cutoff6"
0.846715328467153	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	10	"Scaffold"	"cutoff6"
0.967316341829086	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	11	"Scaffold"	"cutoff6"
0.700729927007299	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	12	"Scaffold"	"cutoff6"
0.243055555555555	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	13	"Scaffold"	"cutoff6"
0.744360902255639	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	14	"Scaffold"	"cutoff6"
0.95263671875	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	15	"Scaffold"	"cutoff6"
0.847417840375587	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	16	"Scaffold"	"cutoff6"
0.995555555555556	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	17	"Scaffold"	"cutoff6"
0.855889724310777	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	18	"Scaffold"	"cutoff6"
0.966205837173579	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	19	"Scaffold"	"cutoff6"
0.890403489640131	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	20	"Scaffold"	"cutoff6"
0.842605156037992	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	21	"Scaffold"	"cutoff6"
0.655714285714286	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	22	"Scaffold"	"cutoff6"
1	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	23	"Scaffold"	"cutoff6"
0.712045616535994	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	24	"Scaffold"	"cutoff6"
0.986666666666667	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	25	"Scaffold"	"cutoff6"
0.84688995215311	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	26	"Scaffold"	"cutoff6"
0.865424430641822	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	27	"Scaffold"	"cutoff6"
0.803350970017637	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	28	"Scaffold"	"cutoff6"
0.881578947368421	"AUROC"	"SMILES"	"  MDR1"	" MolBERT"	29	"Scaffold"	"cutoff6"
0.808148148148148	"AUROC"	"Graph"	"  MDR1"	"GROVER"	0	"Scaffold"	"cutoff6"
0.941657579062159	"AUROC"	"Graph"	"  MDR1"	"GROVER"	1	"Scaffold"	"cutoff6"
