"fold"	"mol_prop"	"split_type"	"sim_type"	"sim"
0	" BACE"	"Scaffold"	"Training vs Test"	0.709998373236311
1	" BACE"	"Scaffold"	"Training vs Test"	0.685679846198151
2	" BACE"	"Scaffold"	"Training vs Test"	0.72253427262369
3	" BACE"	"Scaffold"	"Training vs Test"	0.726425465490473
4	" BACE"	"Scaffold"	"Training vs Test"	0.725172200191178
5	" BACE"	"Scaffold"	"Training vs Test"	0.734461614666016
6	" BACE"	"Scaffold"	"Training vs Test"	0.714049397134467
7	" BACE"	"Scaffold"	"Training vs Test"	0.731010876203838
8	" BACE"	"Scaffold"	"Training vs Test"	0.715065638093572
9	" BACE"	"Scaffold"	"Training vs Test"	0.715892804394427
10	" BACE"	"Scaffold"	"Training vs Test"	0.700874601833914
11	" BACE"	"Scaffold"	"Training vs Test"	0.736234506101985
12	" BACE"	"Scaffold"	"Training vs Test"	0.740773991632618
13	" BACE"	"Scaffold"	"Training vs Test"	0.716861592409642
14	" BACE"	"Scaffold"	"Training vs Test"	0.724496350966786
15	" BACE"	"Scaffold"	"Training vs Test"	0.762555898804414
16	" BACE"	"Scaffold"	"Training vs Test"	0.726664418746766
17	" BACE"	"Scaffold"	"Training vs Test"	0.71136774220749
18	" BACE"	"Scaffold"	"Training vs Test"	0.718192966360795
19	" BACE"	"Scaffold"	"Training vs Test"	0.719717578668343
20	" BACE"	"Scaffold"	"Training vs Test"	0.715340772447617
21	" BACE"	"Scaffold"	"Training vs Test"	0.714126067726236
22	" BACE"	"Scaffold"	"Training vs Test"	0.689571593348917
23	" BACE"	"Scaffold"	"Training vs Test"	0.73810675691225
24	" BACE"	"Scaffold"	"Training vs Test"	0.741220758149498
25	" BACE"	"Scaffold"	"Training vs Test"	0.722672871657108
26	" BACE"	"Scaffold"	"Training vs Test"	0.723148641813742
27	" BACE"	"Scaffold"	"Training vs Test"	0.745193703590255
28	" BACE"	"Scaffold"	"Training vs Test"	0.721045750928552
29	" BACE"	"Scaffold"	"Training vs Test"	0.711179635830616
0	" BBBP"	"Scaffold"	"Training vs Test"	0.467846929518188
1	" BBBP"	"Scaffold"	"Training vs Test"	0.450588707880276
2	" BBBP"	"Scaffold"	"Training vs Test"	0.487010403522631
3	" BBBP"	"Scaffold"	"Training vs Test"	0.463272748415063
4	" BBBP"	"Scaffold"	"Training vs Test"	0.535180837061347
5	" BBBP"	"Scaffold"	"Training vs Test"	0.490335044046728
6	" BBBP"	"Scaffold"	"Training vs Test"	0.468674005458995
7	" BBBP"	"Scaffold"	"Training vs Test"	0.525180979254769
8	" BBBP"	"Scaffold"	"Training vs Test"	0.48545855629008
9	" BBBP"	"Scaffold"	"Training vs Test"	0.484812595059232
10	" BBBP"	"Scaffold"	"Training vs Test"	0.480290289913736
11	" BBBP"	"Scaffold"	"Training vs Test"	0.531947070723627
12	" BBBP"	"Scaffold"	"Training vs Test"	0.360606527128598
13	" BBBP"	"Scaffold"	"Training vs Test"	0.456340404545389
14	" BBBP"	"Scaffold"	"Training vs Test"	0.487700425052061
15	" BBBP"	"Scaffold"	"Training vs Test"	0.346283514343384
16	" BBBP"	"Scaffold"	"Training vs Test"	0.494912266404164
17	" BBBP"	"Scaffold"	"Training vs Test"	0.474346993609173
18	" BBBP"	"Scaffold"	"Training vs Test"	0.497690677170346
19	" BBBP"	"Scaffold"	"Training vs Test"	0.477866130994587
20	" BBBP"	"Scaffold"	"Training vs Test"	0.465063436074955
21	" BBBP"	"Scaffold"	"Training vs Test"	0.498010994348584
22	" BBBP"	"Scaffold"	"Training vs Test"	0.533891890397886
23	" BBBP"	"Scaffold"	"Training vs Test"	0.465821389236101
24	" BBBP"	"Scaffold"	"Training vs Test"	0.492181158429239
25	" BBBP"	"Scaffold"	"Training vs Test"	0.500281893698181
26	" BBBP"	"Scaffold"	"Training vs Test"	0.518479806402834
27	" BBBP"	"Scaffold"	"Training vs Test"	0.516558928387921
28	" BBBP"	"Scaffold"	"Training vs Test"	0.457276721843859
29	" BBBP"	"Scaffold"	"Training vs Test"	0.476966115396197
0	" HIV"	"Scaffold"	"Training vs Test"	0.537314379636226
1	" HIV"	"Scaffold"	"Training vs Test"	0.541324274880287
2	" HIV"	"Scaffold"	"Training vs Test"	0.537369991088621
3	" HIV"	"Scaffold"	"Training vs Test"	0.542792677709055
4	" HIV"	"Scaffold"	"Training vs Test"	0.532032953578424
5	" HIV"	"Scaffold"	"Training vs Test"	0.525062154102667
6	" HIV"	"Scaffold"	"Training vs Test"	0.534727263517285
7	" HIV"	"Scaffold"	"Training vs Test"	0.535738810331694
8	" HIV"	"Scaffold"	"Training vs Test"	0.543679876853059
9	" HIV"	"Scaffold"	"Training vs Test"	0.547110395616071
10	" HIV"	"Scaffold"	"Training vs Test"	0.538907815885897
11	" HIV"	"Scaffold"	"Training vs Test"	0.532036127043907
12	" HIV"	"Scaffold"	"Training vs Test"	0.543828295474501
13	" HIV"	"Scaffold"	"Training vs Test"	0.540858220357023
14	" HIV"	"Scaffold"	"Training vs Test"	0.537260390693128
15	" HIV"	"Scaffold"	"Training vs Test"	0.53361919869001
16	" HIV"	"Scaffold"	"Training vs Test"	0.539354124990238
17	" HIV"	"Scaffold"	"Training vs Test"	0.541744167468364
18	" HIV"	"Scaffold"	"Training vs Test"	0.54644395851202
19	" HIV"	"Scaffold"	"Training vs Test"	0.480824146875349
20	" HIV"	"Scaffold"	"Training vs Test"	0.542426557167586
21	" HIV"	"Scaffold"	"Training vs Test"	0.475199810984852
22	" HIV"	"Scaffold"	"Training vs Test"	0.472887695112818
23	" HIV"	"Scaffold"	"Training vs Test"	0.537475033330129
24	" HIV"	"Scaffold"	"Training vs Test"	0.541583097188643
25	" HIV"	"Scaffold"	"Training vs Test"	0.54120795316804
26	" HIV"	"Scaffold"	"Training vs Test"	0.539495719550098
27	" HIV"	"Scaffold"	"Training vs Test"	0.533837360631309
28	" HIV"	"Scaffold"	"Training vs Test"	0.467314005446947
29	" HIV"	"Scaffold"	"Training vs Test"	0.53820356263091
