"fold"	"D_statistic"	"p_value"	"split_type"	"mol_prop"	"group"
0	0.0390458937198067	0.98981770537641	"Random"	"  MDR1"	"Training vs Test"
1	0.0973913043478261	0.176356475478742	"Random"	"  MDR1"	"Training vs Test"
2	0.0696980676328503	0.563015146962927	"Random"	"  MDR1"	"Training vs Test"
3	0.0732850241545893	0.497688388206032	"Random"	"  MDR1"	"Training vs Test"
4	0.0615700483091787	0.71702326486857	"Random"	"  MDR1"	"Training vs Test"
5	0.0610265700483091	0.72720094307628	"Random"	"  MDR1"	"Training vs Test"
6	0.0778019323671498	0.42072452102406	"Random"	"  MDR1"	"Training vs Test"
7	0.0645048309178744	0.661361387371196	"Random"	"  MDR1"	"Training vs Test"
8	0.0599154589371981	0.747801883385442	"Random"	"  MDR1"	"Training vs Test"
9	0.072584541062802	0.510192177883865	"Random"	"  MDR1"	"Training vs Test"
10	0.056388888888889	0.810481659328711	"Random"	"  MDR1"	"Training vs Test"
11	0.107427536231884	0.104263209585346	"Random"	"  MDR1"	"Training vs Test"
12	0.0974033816425121	0.176250533542226	"Random"	"  MDR1"	"Training vs Test"
13	0.0671497584541063	0.610965204775471	"Random"	"  MDR1"	"Training vs Test"
14	0.0449516908212561	0.958231707698685	"Random"	"  MDR1"	"Training vs Test"
15	0.0998429951690821	0.155859316198571	"Random"	"  MDR1"	"Training vs Test"
16	0.0603743961352657	0.739330014414278	"Random"	"  MDR1"	"Training vs Test"
17	0.0754589371980676	0.459809972285334	"Random"	"  MDR1"	"Training vs Test"
18	0.133695652173913	0.0206126796776785	"Random"	"  MDR1"	"Training vs Test"
19	0.075132850241546	0.465397250527824	"Random"	"  MDR1"	"Training vs Test"
20	0.0770772946859903	0.432608412294134	"Random"	"  MDR1"	"Training vs Test"
21	0.0552053140096619	0.830253572608917	"Random"	"  MDR1"	"Training vs Test"
22	0.0419323671497585	0.978025273641324	"Random"	"  MDR1"	"Training vs Test"
23	0.0505072463768116	0.899774892026554	"Random"	"  MDR1"	"Training vs Test"
24	0.0793840579710145	0.395443698314887	"Random"	"  MDR1"	"Training vs Test"
25	0.109553140096618	0.0926577520028277	"Random"	"  MDR1"	"Training vs Test"
26	0.0519927536231884	0.879543477668807	"Random"	"  MDR1"	"Training vs Test"
27	0.0554347826086956	0.826480337321677	"Random"	"  MDR1"	"Training vs Test"
28	0.0733574879227053	0.496402779824942	"Random"	"  MDR1"	"Training vs Test"
29	0.0603381642512077	0.740000856316268	"Random"	"  MDR1"	"Training vs Test"
0	0.182278860569715	0.000384563137607596	"Scaffold"	"  MDR1"	"Training vs Test"
1	0.206056971514243	3.56629834714628e-05	"Scaffold"	"  MDR1"	"Training vs Test"
2	0.0615592203898051	0.713664670747859	"Scaffold"	"  MDR1"	"Training vs Test"
3	0.0831484257871064	0.335514430010526	"Scaffold"	"  MDR1"	"Training vs Test"
4	0.0795802098950525	0.388561430812837	"Scaffold"	"  MDR1"	"Training vs Test"
5	0.268935532233883	1.62857598517974e-08	"Scaffold"	"  MDR1"	"Training vs Test"
6	0.169055472263868	0.0012722519757089	"Scaffold"	"  MDR1"	"Training vs Test"
7	0.0910044977511245	0.236613692430991	"Scaffold"	"  MDR1"	"Training vs Test"
8	0.113073463268366	0.0743056389286961	"Scaffold"	"  MDR1"	"Training vs Test"
9	0.1647976011994	0.00183467400633441	"Scaffold"	"  MDR1"	"Training vs Test"
10	0.12311844077961	0.0403354836963055	"Scaffold"	"  MDR1"	"Training vs Test"
11	0.199790104947526	6.86560813615289e-05	"Scaffold"	"  MDR1"	"Training vs Test"
12	0.100059970014992	0.151727457462331	"Scaffold"	"  MDR1"	"Training vs Test"
13	0.220119940029985	7.61912669233755e-06	"Scaffold"	"  MDR1"	"Training vs Test"
14	0.211064467766117	2.08260326207688e-05	"Scaffold"	"  MDR1"	"Training vs Test"
15	0.0584107946026987	0.771905588046849	"Scaffold"	"  MDR1"	"Training vs Test"
16	0.158200899550225	0.00317589705995047	"Scaffold"	"  MDR1"	"Training vs Test"
17	0.0855172413793103	0.303106263411368	"Scaffold"	"  MDR1"	"Training vs Test"
18	0.0457871064467766	0.950034268506463	"Scaffold"	"  MDR1"	"Training vs Test"
19	0.0748125937031485	0.466944225328002	"Scaffold"	"  MDR1"	"Training vs Test"
20	0.0943628185907047	0.201693126001696	"Scaffold"	"  MDR1"	"Training vs Test"
21	0.0951724137931034	0.193900566933469	"Scaffold"	"  MDR1"	"Training vs Test"
22	0.0896551724137931	0.25185683939269	"Scaffold"	"  MDR1"	"Training vs Test"
23	0.112593703148426	0.0764062138141134	"Scaffold"	"  MDR1"	"Training vs Test"
24	0.134092953523238	0.0194976491612165	"Scaffold"	"  MDR1"	"Training vs Test"
25	0.0528035982008996	0.865358962043001	"Scaffold"	"  MDR1"	"Training vs Test"
26	0.19832083958021	7.98177800206412e-05	"Scaffold"	"  MDR1"	"Training vs Test"
27	0.0735832083958021	0.488413535130986	"Scaffold"	"  MDR1"	"Training vs Test"
28	0.0895652173913044	0.252898297846738	"Scaffold"	"  MDR1"	"Training vs Test"
29	0.187226386806597	0.000240161062227462	"Scaffold"	"  MDR1"	"Training vs Test"
0	0.0833333333333333	0.699374199935276	"Random"	"  MDR1"	" Validation vs Test"
1	0.118055555555556	0.268144904972643	"Random"	"  MDR1"	" Validation vs Test"
