,,,ROC_AUC,,PRC_AUC,,PPV,,NPV,,,,
,,,,,,,,,,,,,
Target,Descriptor,Group,TM Score,CI - NearestTree,TM Score,CI - NearestTree,TM Score,CI - NearestTree,TM Score,CI - NearestTree,Target Colour Count,,
,,,,,,,,,,,,,
MOR ,ECFP,Random,0.93,99%,0.87,99%,0.72,99%,0.94,None,MOR,,
,,Scaffold,0.89,90%,0.8,90%,0.65,None,0.92,99%,"""Better""","""The Same""","""Worse"""
,RDKit2D,Random,0.92,99%,0.85,99%,0.7,99%,0.93,90%,11,5,0
,,Scaffold,0.87,None,0.77,90%,0.64,None,0.91,None,,,
DOR ,ECFP,Random,0.91,90%,0.76,0.99%,0.6,90%,0.95,None,DOR,,
,,Scaffold,0.87,None,0.66,None,0.54,90%,0.94,99%,"""Better""","""The Same""","""Worse"""
,RDKit2D,Random,0.9,99%,0.75,90%,0.59,None,0.94,99%,4,8,4
,,Scaffold,0.85,None,0.63,None,0.49,None,0.93,None,,,
KOR ,ECFP,Random,0.92,99%,0.83,90%,0.68,90%,0.95,90%,KOR,,
,,Scaffold,0.89,99%,0.77,None,0.65,90%,0.92,99%,"""Better""","""The Same""","""Worse"""
,RDKit2D,Random,0.91,99%,0.82,99%,0.68,None,0.93,99%,6,2,8
,,Scaffold,0.87,99%,0.75,99%,0.62,90%,0.91,99%,,,
CYP2D6 ,ECFP,Random,0.72,99%,0.11,99%,0.05,99%,0.99,None,CYP2D6,,
,,Scaffold,0.61,None,0.15,99%,0.07,None,0.98,None,"""Better""","""The Same""","""Worse"""
,RDKit2D,Random,0.69,99%,0.1,99%,0.04,None,0.99,None,5,7,4
,,Scaffold,0.63,99%,0.11,99%,0.02,99%,0.99,None,,,
CYP3A4 ,ECFP,Random,0.92,99%,0.63,99%,0.39,None,0.99,99%,CYP3A4,,
,,Scaffold,0.85,None,0.49,99%,0.35,99%,0.99,None,"""Better""","""The Same""","""Worse"""
,RDKit2D,Random,0.88,99%,0.6,99%,0.33,90%,0.99,90%,12,4,0
,,Scaffold,0.78,None,0.39,99%,0.24,99%,0.99,90%,,,
,,,ROC_AUC Colour Count,,PRC_AUC Colour Count,,PPV Colour Count,,NPV Colour Count,,,,
,,,,,,,,,,,,,
,,,"""Better""",11,"""Better""",10,"""Better""",11,"""Better""",6,,,
,,,,,,,,,,,,,
,,,"""The Same""",6,"""The Same""",3,"""The Same""",8,"""The Same""",9,,,
,,,,,,,,,,,,,
,,,"""Worse""",3,"""Worse""",7,"""Worse""",1,"""Worse""",5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
